,Sample,Station,Time,DHW,Depth,Chlorophyll,Density,Carbohydrate,Protein,Lipid,Ea,Ec,CEA,N15,C13,C_N_ratio,D1_ratio,D_numbers,C_numbers,ASV_numbers
1,Pa-20au-HGJ-1,HGJ,20au,5.76,4.2,2.569,4.689,0.112,0.219,0.697,34.722,177.47,195.651,1.466,-20.449,4.729,0.003,147,41601,41748
2,Pa-20au-HGJ-2,HGJ,20au,5.76,4.2,4.33,2.378,0.118,0.284,0.182,16.045,202.373,79.286,2.534,-18.428,4.642,0.682,84642,40055,124697
3,Pa-20au-HGJ-3,HGJ,20au,5.76,4.2,7.137,2.151,0.141,0.475,0.783,44.788,211.613,211.651,2.135,-18.064,3.725,0.461,28321,33439,61760
4,Pa-20au-HGJ-4,HGJ,20au,5.76,4.2,3.566,3.343,0.034,0.336,0.847,42.119,197.39,213.381,0.836,-20.601,4.728,0.001,102,88570,88672
5,Pa-20au-HGJ-5,HGJ,20au,5.76,4.2,5.164,2.546,0.114,0.196,0.538,27.928,213.406,130.869,2.184,-19.469,4.181,0.849,53867,9604,63471
6,Pa-20au-HGJ-6,HGJ,20au,5.75,0.8,3.796,7.764,0.086,0.377,0.761,40.606,221.764,183.104,3.328,-18.213,5.216,0.35,22326,40914,63240
7,Pa-20au-HGJ-7,HGJ,20au,5.75,0.8,6.493,4.515,0.144,0.233,0.623,32.752,275.461,118.898,4.124,-18.589,4.659,0.819,50329,11413,61742
8,Pa-20au-HGJ-8,HGJ,20au,5.75,0.8,1.855,6.699,0.134,0.265,0.495,28.259,138.842,203.53,4.449,-18.585,4.707,0.873,54496,7950,62446
9,Pa-20au-HGJ-9,HGJ,20au,5.75,0.8,4.493,2.621,0.436,0.242,0.588,36.66,209.144,175.285,3.59,-17.505,4.536,0.642,38319,21372,59691
10,Pa-20au-HGJ-10,HGJ,20au,5.75,0.8,6.267,4.33,0.469,0.251,0.564,36.529,234.467,155.795,4.808,-17.325,4.325,0.884,56272,7619,63891
11,Pa-20au-JQD-1,JQD,20au,9.92,3.1,3.485,3.604,0.079,0.394,1.64,75.61,289.33,261.327,4.358,-16.9,4.445,0.27,16267,44248,60515
12,Pa-20au-JQD-2,JQD,20au,9.92,3.1,4.032,3.901,0.139,0.319,1.607,73.545,283.877,259.074,3.897,-16.893,4.724,0.651,38948,20981,59929
13,Pa-20au-JQD-3,JQD,20au,9.92,3.1,5.855,1.58,0.135,0.222,1.339,60.572,251.802,240.556,3.972,-16.226,4.459,0.81,51266,12274,63540
14,Pa-20au-JQD-4,JQD,20au,9.92,3.1,5.033,1.564,0.092,0.367,1.181,57.054,323.756,176.227,4.342,-16.588,4.531,0.802,49892,12548,62440
15,Pa-20au-JQD-5,JQD,20au,10.28,12.2,3.802,1.262,0.075,0.231,0.524,27.566,151.815,181.579,4.11,-18.112,4.761,0.851,51748,8953,60701
16,Pa-20au-JQD-6,JQD,20au,10.28,12.2,0.755,2.463,0.109,0.409,0.757,41.61,293.787,141.635,3.845,-16.38,5.061,0.844,53957,9622,63579
17,Pa-20au-JQD-7,JQD,20au,10.28,12.2,4.581,0.847,0.038,0.195,0.164,11.824,109.857,107.629,4.591,-17.105,4.584,0.876,56450,7982,64432
18,Pa-20au-JQD-8,JQD,20au,9.92,19.9,2.936,0.628,0.077,0.038,0.163,8.695,150.994,57.586,3.883,-17.157,4.415,0.464,26343,30543,56886
19,Pa-20au-JQD-9,JQD,20au,9.92,19.9,2.329,2.551,0.123,0.285,0.176,15.953,331.33,48.148,4.434,-18.137,5.505,0.459,27589,32330,59919
20,Pa-20au-LYJ-1,LYJ,20au,10.71,0.7,1.311,6.268,0.092,0.47,0.41,29.088,391.456,74.307,2.16,-17.939,5.557,0.811,51943,12081,64024
21,Pa-20au-LYJ-2,LYJ,20au,10.71,0.7,1.237,12.269,0.149,0.551,0.52,36.362,406.216,89.515,2.916,-17.896,4.3,0.765,49630,15636,65266
22,Pa-20au-LYJ-3,LYJ,20au,10.71,0.7,2.155,4.491,0.022,0.344,0.505,28.619,359.954,79.507,0.599,-18.524,4.469,0.686,44881,20580,65461
23,Pa-20au-LYJ-4,LYJ,20au,10.71,3.7,2.346,2.512,0.147,0.437,0.663,39.261,359.064,109.342,4.929,-16.25,4.612,0.786,48350,13306,61656
24,Pa-20au-LYJ-5,LYJ,20au,10.71,3.7,2.479,2.493,0.143,0.099,0.659,30.893,400.18,77.197,2.159,-17.587,4.848,0.996,67101,193,67294
25,Pa-20au-LYJ-6,LYJ,20au,10.77,8.7,1.58,4.347,0.053,0.394,0.814,42.534,203.699,208.807,3.885,-17.455,4.608,0.729,45483,17311,62794
26,Pa-20au-LYJ-7,LYJ,20au,10.77,8.7,4.24,1.795,0.137,0.36,0.483,30.094,362.858,82.935,3.599,-17.444,4.454,0.982,65074,1273,66347
27,Pa-20au-LYJ-8,LYJ,20au,10.77,8.7,3.719,2.058,0.131,0.333,1.023,50.71,345.716,146.68,3.194,-18.836,5.231,0.978,65928,1529,67457
28,Pa-20au-LYJ-9,LYJ,20au,10.77,8.7,2.379,4.151,0.076,0.653,1.14,62.065,556.366,111.554,2.963,-18.147,4.631,0.448,28463,35257,63720
29,Pa-20au-LYJ-10,LYJ,20au,10.71,0.7,1.387,8.134,0.064,0.417,0.292,22.678,388.614,58.356,4.842,-15.788,5.182,0.278,18111,46871,64982
30,Pa-20au-YY-1,YY,20au,12.04,1.5,3.184,4.872,0.143,0.44,0.218,21.67,212.811,101.826,5.07,-18.531,4.386,0.912,60124,5893,66017
31,Pa-20au-YY-2,YY,20au,12.04,1.5,1.306,4.107,0.111,0.368,0.221,19.513,226.123,86.293,4.676,-18.476,5.24,0.857,53950,9209,63159
32,Pa-20au-YY-3,YY,20au,12.04,1.5,1.961,3.446,0.1,0.279,0.108,12.727,207.443,61.352,5.754,-17.039,5.445,0.865,55746,8605,64351
33,Pa-20au-YY-4,YY,20au,12.04,1.5,2.37,5.244,0.206,0.407,0.193,20.987,346.172,60.625,5.016,-18.029,4.852,0.853,53656,9340,62996
34,Pa-20au-YY-5,YY,20au,12.01,6.7,3.202,7.77,0.088,0.262,0.236,17.165,350.474,48.975,3.589,-17.694,4.371,0.349,23453,43423,66876
35,Pa-20au-YY-6,YY,20au,12.01,6.7,4.688,5.384,0.128,0.348,0.194,18.276,289.464,63.136,3.098,-17.142,4.54,0.069,3542,48897,52439
36,Pa-20au-YY-7,YY,20au,12.01,6.7,2.501,10.965,0.081,0.32,0.283,20.295,369.819,54.879,3.971,-17.8,5.096,0.749,47204,15848,63052
37,Pa-20au-YY-8,YY,20au,12.04,11.3,3.021,3.503,0.114,0.339,0.054,12.275,278.942,44.005,4.161,-17.913,4.468,0.834,52577,10417,62994
38,Pa-20au-YY-9,YY,20au,12.04,11.3,2.67,8.603,0.253,0.342,0.042,14.295,482.691,29.615,4.86,-17.421,4.416,0.835,50662,9836,60498
39,Pa-20au-YY-10,YY,20au,12.04,11.3,2.299,2.341,0.126,0.258,0.055,10.582,205.792,51.421,3.238,-19.973,5.034,0.837,52103,10223,62326
40,Pa-20au-YY-11,YY,20au,12.04,11.3,2.146,1.951,0.118,0.22,0.008,7.679,240.95,31.87,2.597,-20.097,6.567,0.853,53032,9352,62384
41,Pa-20au-YY-12,YY,20au,12.04,1.5,1.572,3.993,0.137,0.35,0.182,17.999,174.063,103.408,5.432,-18.353,4.805,0.855,53404,9064,62468
42,Pa-20au-YY-13,YY,20au,12.01,6.7,2.954,4.508,0.104,0.355,0.065,12.891,373.722,34.494,3.341,-17.082,4.422,0.665,36832,18679,55511
43,Pa-20au-YY-14,YY,20au,12.01,6.7,5.882,1.305,0.096,0.408,0.224,20.322,348.472,58.318,2.687,-17.818,4.509,0.64,25841,14543,40384
44,Pa-20au-ZSD-1,ZSD,20au,9.72,2,2.356,7.57,0.102,0.644,0.905,52.995,279.19,189.819,5.486,-18.326,5.072,0.902,57101,6522,63623
45,Pa-20au-ZSD-2,ZSD,20au,9.72,2,1.911,11.651,0.187,0.573,1.092,60.135,459.884,130.762,3.817,-19.207,5.436,0.727,44607,16562,61169
46,Pa-20au-ZSD-3,ZSD,20au,9.72,2,3.109,9.148,0.315,0.591,0.2,27.624,393.962,70.119,3.586,-17.961,5.431,0.902,58802,6231,65033
47,Pa-20au-ZSD-4,ZSD,20au,9.72,2,4.787,6.494,0.142,0.554,0.356,29.819,356.139,83.73,2.02,-21.112,4.322,0.889,54908,7048,61956
48,Pa-21sp-BD-1,BD,21sp,0,8.3,4.183,2.443,0.35,0.507,1.212,66.171,567.625,116.575,3.441,-19.965,6.176,0.944,105290,6718,112008
49,Pa-21sp-BD-2,BD,21sp,0,8.7,2.166,6.513,0.19,0.546,1.008,56.273,326.539,172.332,2.939,-21.178,6.353,0.889,59034,7670,66704
50,Pa-21sp-BSZ-1,BSZ,21sp,0,5.5,3.052,4.361,0.375,0.699,1.117,67.468,631.195,106.89,4.022,-18.007,5.451,0.966,107675,3818,111493
51,Pa-21sp-BSZ-2,BSZ,21sp,0,5.5,2.586,5.039,0.495,0.63,1.062,65.748,700.648,93.84,3.23,-22.214,6.096,0.984,106462,1773,108235
52,Pa-21sp-BSZ-3,BSZ,21sp,0,5.5,2.03,8.767,0.462,0.784,1.14,71.94,596.805,120.543,3.552,-21.125,6.711,0.971,99133,2976,102109
53,Pa-21sp-DD-1,DD,21sp,0,8.5,2.592,7.542,0.125,0.505,1.138,59.271,694.982,85.285,2.7,-20.116,4.342,1,68067,236,68303
54,Pa-21sp-DD-2,DD,21sp,0,8.5,2.987,6.303,0.116,0.661,0.861,51.901,413.147,125.625,3.54,-19.006,4.509,0.771,51784,15892,67676
55,Pa-21sp-DD-3,DD,21sp,0,8.5,3.519,7.831,0.226,0.55,0.86,51.13,423.086,120.85,3.229,-19.468,4.348,0.571,37749,29693,67442
56,Pa-21sp-JQD-1,JQD,21sp,0,0.6,2.335,5.505,0.133,0.602,0.711,44.87,576.142,77.88,2.913,-18.66,5.372,0.959,47349,2360,49709
57,Pa-21sp-JQD-2,JQD,21sp,0,0.6,4.232,4.99,0.145,0.6,1.204,64.481,544.669,118.385,2.996,-17.499,5.474,0.975,102917,2492,105409
58,Pa-21sp-JQD-3,JQD,21sp,0,0.6,4.416,5.255,0.143,0.523,1.142,60.161,568.1,105.898,2.825,-23.915,6.825,0.929,91625,7038,98663
59,Pa-21sp-JYD-1,JYD,21sp,0,5.2,3.292,4.865,0.169,0.675,0.749,48.756,411.6,118.455,1.159,-20.887,7.533,0.97,39526,27165,66691
60,Pa-21sp-JYD-2,JYD,21sp,0,5.2,6.604,1.767,0.134,0.633,0.739,46.74,412.369,113.345,1.172,-20.737,7.03,0.057,3704,58630,62334
61,Pa-21sp-JYD-3,JYD,21sp,0,5.2,7.644,1.642,0.525,0.789,0.921,64.512,556.664,115.89,1.812,-20.8,6.207,0.996,67958,273,68231
62,Pa-21sp-LHJ-1,LHJ,21sp,0,9.2,6.789,2.319,0.147,0.647,1.396,73.245,376.44,194.572,3.735,-19.408,5.112,0.021,1030,61753,62783
63,Pa-21sp-LYJ-1,LYJ,21sp,0,4.6,5.383,1.625,0.602,0.815,0.853,63.787,504.325,126.481,2.255,-19.382,5.312,0.811,18282,50192,68474
64,Pa-21sp-LYJ-2,LYJ,21sp,0,4.6,1.844,6.023,0.328,0.869,0.552,48.404,268.615,180.199,1.66,-20.551,6.042,0.148,9919,57948,67867
65,Pa-21sp-LYJ-3,LYJ,21sp,0,4.6,2.382,3.334,0.508,0.763,0.676,53.889,459.754,117.213,1.934,-19.241,5.405,0.856,53664,13963,67627
66,Pa-21sp-NSZ-1,NSZ,21sp,0,1.5,2.163,5.446,0.152,0.665,1.047,59.994,555.066,108.084,3.632,-17.867,5.988,0.999,108052,106,108158
67,Pa-21sp-NSZ-2,NSZ,21sp,0,1.5,3.739,6.072,0.139,0.573,0.916,52.352,582.832,89.824,3.147,-20.227,6.598,0.882,91162,12092,103254
68,Pa-21sp-NSZ-3,NSZ,21sp,0,1.5,3.564,1.998,0.279,0.409,0.994,53.959,674.509,79.997,4.065,-20.508,7.506,0.005,269,62778,63047
69,Pa-21sp-PSY-1,PSY,21sp,0,5.8,3.923,6.727,0.23,0.67,0.89,55.264,525.43,105.18,3.423,-22.228,5.69,0.987,64715,3381,68096
70,Pa-21sp-PSY-2,PSY,21sp,0,5.8,3,7.029,0.331,0.621,0.984,59.534,574.788,103.576,4.048,-19.597,4.812,0.987,54443,12292,66735
71,Pa-21sp-SHD-1,CHD,21sp,0,3.1,2.439,8.122,0.125,0.45,0.454,30.92,409.833,75.445,4.659,-18.786,4.605,0.004,260,63333,63593
72,Pa-21sp-SY-1,SY,21sp,0,7.6,2.461,7.391,0.253,0.677,2.044,101.401,443.659,228.555,1.599,-19.458,5.29,0.999,46989,20478,67467
73,Pa-21sp-SY-2,SY,21sp,0,7.6,4.686,4.735,0.296,0.596,2.09,102.033,701.795,145.389,1.875,-20.878,5.933,0.201,11717,48101,59818
74,Pa-21sp-SY-3,SY,21sp,0,7.6,4.383,2.704,0.408,0.747,1.299,76.369,493.582,154.724,2.088,-19.36,4.847,0.995,67675,377,68052
75,Pa-21sp-XSZ-1,XSZ,21sp,0,6.2,4.538,4.414,0.221,0.532,0.59,39.919,435.328,91.699,3.507,-17.905,4.714,0.982,66539,1319,67858
76,Pa-21sp-XSZ-2,XSZ,21sp,0,6.2,2.126,8.083,0.297,0.634,0.81,52.418,570.808,91.832,3.278,-20.884,5.311,0.804,21238,45878,67116
77,Pa-21sp-XSZ-3,XSZ,21sp,0,6.2,2.604,4.677,0.228,0.49,1.014,55.819,584.912,95.432,-0.013,-19.604,1.456,0.898,56844,8988,65832
78,Pa-21sp-YGD-1,YGD,21sp,0,1.5,6.992,3.294,0.69,0.39,1.12,65.688,633.753,103.649,1.297,-20.572,5.426,0.961,65457,2848,68305
79,Pa-21sp-YGD-2,YGD,21sp,0,1.5,4.63,3.225,0.422,0.471,0.798,50.19,425.252,118.024,2.01,-19.851,5.257,0.998,67692,84,67776
80,Pa-21sp-YXD-1,YXD,21sp,0,3,2.462,4.274,0.153,0.524,1.174,61.612,597.636,103.093,3.299,-23.153,6.577,0.948,61957,3397,65354
81,Pa-21sp-YXD-2,YXD,21sp,0,3,9.041,1.164,0.132,0.57,1.036,56.925,453.067,125.644,3.716,-18.448,4.934,0.685,66602,30731,97333
82,Pa-21sp-YXD-3,YXD,21sp,0,3,11.441,2.394,0.175,0.588,1.318,69.203,734.348,94.237,3.158,-19.267,4.96,0.867,56336,9793,66129
83,Pa-21sp-YY-1,YY,21sp,0,1.6,1.597,6.249,0.235,0.683,0.599,44.184,297.274,148.631,0.063,-19.716,6.662,0.91,25998,32069,58067
84,Pa-21sp-YZJ-1,YZJ,21sp,0,3.8,2.743,3.592,0.116,0.671,1.013,58.162,421.521,137.982,4.011,-22.206,5.432,0.273,10553,47213,57766
85,Pa-21sp-YZJ-2,YZJ,21sp,0,3.8,3.296,6.955,0.13,0.85,1.083,65.463,559.424,117.019,4.741,-20.255,4.964,0.999,40808,27492,68300
86,Pa-21sp-YZJ-3,YZJ,21sp,0,3.8,5.438,4.694,0.066,0.799,0.991,59.477,723.363,82.223,4.247,-20.578,6.307,1,67755,27,67782
87,Pa-21sp-ZJD-1,ZJD,21sp,0,6.7,2.382,2.589,0.241,0.68,1.223,68.867,421.699,163.307,4.28,-20.497,5.019,0,11,63586,63597
88,Pa-21sp-ZJD-2,ZJD,21sp,0,6.7,3,3.519,0.24,0.484,1.083,58.614,336.329,174.275,4.482,-18.928,6.382,0,19,51391,51410
89,Pa-21sp-ZSD-1,ZSD,21sp,0,8,2.34,7.974,0.078,0.544,0.665,40.681,447.151,90.978,2.951,-19.158,5.415,0.949,63272,3962,67234
